,matchId,playerId,playType,bodyPart,x,y,interveningOpponents,interveningTeammates,interferenceOnShooter,minute,second,outcome
0,m_91,p_103,during the match,right foot,13.47,-11.22,1,0,medium,70,9,goal
1,m_17,p_16,during the match,left foot,9.48,14.22,3,0,medium,55,4,goalkeeper save
2,m_111,p_88,direct free kick,left foot,29.43,-1.25,6,2,low,86,31,goalkeeper save
3,m_142,p_87,during the match,right foot,26.93,1.0,4,1,medium,77,2,missed opportunity
4,m_117,p_9,during the match,right foot,10.72,5.24,2,0,medium,76,46,goal
5,m_147,p_118,during the match,head,5.49,-1.5,1,0,low,40,15,missed opportunity
6,m_88,p_101,during the match,head,14.46,-1.25,3,0,medium,88,8,missed opportunity
7,m_66,p_61,during the match,head,8.98,4.99,1,0,low,10,29,missed opportunity
8,m_132,p_84,during the match,left foot,23.44,-1.25,3,0,medium,58,45,kick to the defense
9,m_99,p_30,during the match,left foot,8.48,3.99,2,1,medium,43,55,kick to the defense
10,m_101,p_45,during the match,head,9.98,-9.98,2,0,medium,6,45,goalkeeper save
11,m_158,p_110,during the match,right foot,10.23,-11.72,3,0,low,5,42,kick to the defense
12,m_11,p_79,during the match,right foot,12.47,9.98,2,0,medium,54,41,goalkeeper save
13,m_204,p_85,during the match,head,10.97,-3.74,3,0,medium,16,29,missed opportunity
14,m_108,p_44,during the match,right foot,17.71,14.71,2,0,low,88,44,goalkeeper save
15,m_169,p_129,during the match,head,2.49,5.24,2,0,medium,50,44,goalkeeper save
16,m_7,p_30,during the match,right foot,22.94,1.25,4,1,medium,90,6,goalkeeper save
17,m_27,p_116,during the match,head,4.49,-5.74,1,1,low,18,37,goalkeeper save
18,m_1,p_159,during the match,right foot,28.18,-9.73,3,0,medium,48,28,missed opportunity
19,m_68,p_147,during the match,head,4.74,6.98,2,0,medium,45,26,kick to the defense
20,m_203,p_105,during the match,right foot,12.97,11.72,2,0,high,42,37,kick to the defense
21,m_124,p_89,during the match,right foot,9.73,5.74,4,0,low,12,17,goalkeeper save
22,m_186,p_109,during the match,right foot,12.72,-2.0,1,0,low,11,51,goalkeeper save
23,m_140,p_143,during the match,head,7.23,4.99,1,0,low,88,20,goal
24,m_3,p_71,during the match,right foot,13.22,-7.48,2,0,low,57,43,goalkeeper save
25,m_235,p_134,during the match,right foot,18.21,14.96,2,0,low,0,58,missed opportunity
26,m_209,p_76,during the match,left foot,12.72,-19.2,4,0,low,63,42,kick to the defense
27,m_231,p_34,during the match,left foot,18.7,-1.5,3,0,low,86,56,kick to the defense
28,m_81,p_57,during the match,right foot,8.73,-0.75,1,0,medium,67,57,goalkeeper save
29,m_146,p_118,during the match,left foot,6.48,3.24,2,0,low,54,22,missed opportunity
30,m_110,p_104,during the match,left foot,9.23,4.99,2,0,low,36,25,goal
31,m_59,p_139,during the match,right foot,12.72,4.74,3,0,medium,50,8,goal
32,m_61,p_41,during the match,right foot,23.44,-7.23,3,0,low,29,58,missed opportunity
33,m_134,p_140,direct free kick,right foot,27.93,2.99,8,3,low,39,9,goalkeeper save
34,m_132,p_61,during the match,left foot,24.69,0.75,2,0,low,18,33,goalkeeper save
35,m_92,p_86,penalty,left foot,10.97,0.0,1,0,low,58,41,goal
