earth_date_time,mars_date_time,sol_number,max_ground_temp(°C),min_ground_temp(°C),max_air_temp(°C),min_air_temp(°C),mean_pressure(Pa),wind_speed(m/h),humidity(%),sunrise,sunset,UV_Radiation,weather
"Earth, 2022-01-26 UTC","Mars, Month 6 - LS 163°",Sol 3368,-3,-71,10,-84,707,Value not available,Value not available,05:25,17:20,moderate,Sunny
"Earth, 2022-01-25 UTC","Mars, Month 6 - LS 163°",Sol 3367,-3,-72,10,-87,707,Value not available,Value not available,05:25,17:20,moderate,Sunny
"Earth, 2022-01-24 UTC","Mars, Month 6 - LS 162°",Sol 3366,-4,-70,8,-81,708,Value not available,Value not available,05:25,17:21,moderate,Sunny
"Earth, 2022-01-23 UTC","Mars, Month 6 - LS 162°",Sol 3365,-6,-70,9,-91,707,Value not available,Value not available,05:26,17:21,moderate,Sunny
"Earth, 2022-01-22 UTC","Mars, Month 6 - LS 161°",Sol 3364,-7,-71,8,-92,708,Value not available,Value not available,05:26,17:21,moderate,Sunny
"Earth, 2022-01-21 UTC","Mars, Month 6 - LS 161°",Sol 3363,-8,-71,8,-80,707,Value not available,Value not available,05:26,17:21,moderate,Sunny
"Earth, 2022-01-20 UTC","Mars, Month 6 - LS 160°",Sol 3362,-4,-72,5,-84,706,Value not available,Value not available,05:26,17:21,moderate,Sunny
"Earth, 2022-01-19 UTC","Mars, Month 6 - LS 160°",Sol 3361,-6,-70,5,-73,705,Value not available,Value not available,05:26,17:21,moderate,Sunny
"Earth, 2022-01-18 UTC","Mars, Month 6 - LS 159°",Sol 3360,-6,-71,3,-89,707,Value not available,Value not available,05:27,17:21,moderate,Sunny
"Earth, 2022-01-17 UTC","Mars, Month 6 - LS 158°",Sol 3359,-9,-71,5,-80,708,Value not available,Value not available,05:27,17:21,moderate,Sunny
"Earth, 2022-01-16 UTC","Mars, Month 6 - LS 158°",Sol 3358,-6,-71,5,-88,706,Value not available,Value not available,05:27,17:21,moderate,Sunny
"Earth, 2022-01-15 UTC","Mars, Month 6 - LS 157°",Sol 3357,-7,-71,4,-88,706,Value not available,Value not available,05:27,17:21,moderate,Sunny
"Earth, 2022-01-14 UTC","Mars, Month 6 - LS 157°",Sol 3356,-6,-69,3,-86,706,Value not available,Value not available,05:27,17:21,moderate,Sunny
"Earth, 2022-01-13 UTC","Mars, Month 6 - LS 156°",Sol 3355,-5,-70,2,-85,706,Value not available,Value not available,05:28,17:21,moderate,Sunny
"Earth, 2022-01-11 UTC","Mars, Month 6 - LS 155°",Sol 3353,-14,-69,0,-77,705,Value not available,Value not available,05:28,17:21,moderate,Sunny
"Earth, 2022-01-10 UTC","Mars, Month 6 - LS 155°",Sol 3352,-16,-70,0,-82,706,Value not available,Value not available,05:28,17:22,moderate,Sunny
"Earth, 2022-01-09 UTC","Mars, Month 6 - LS 154°",Sol 3351,-16,-71,-1,-78,703,Value not available,Value not available,05:29,17:22,moderate,Sunny
"Earth, 2022-01-08 UTC","Mars, Month 6 - LS 154°",Sol 3350,-20,-72,-7,-84,703,Value not available,Value not available,05:29,17:22,low,Sunny
"Earth, 2022-01-07 UTC","Mars, Month 6 - LS 153°",Sol 3349,-12,-72,-3,-79,702,Value not available,Value not available,05:29,17:22,moderate,Sunny
"Earth, 2022-01-06 UTC","Mars, Month 6 - LS 153°",Sol 3348,-12,-72,-1,-77,703,Value not available,Value not available,05:29,17:22,moderate,Sunny
"Earth, 2022-01-05 UTC","Mars, Month 6 - LS 152°",Sol 3347,-7,-72,3,-82,705,Value not available,Value not available,05:29,17:22,moderate,Sunny
"Earth, 2022-01-04 UTC","Mars, Month 6 - LS 151°",Sol 3346,-12,-72,3,-86,706,Value not available,Value not available,05:30,17:22,moderate,Sunny
"Earth, 2022-01-03 UTC","Mars, Month 6 - LS 151°",Sol 3345,-6,-73,7,-84,703,Value not available,Value not available,05:30,17:22,moderate,Sunny
"Earth, 2021-12-20 UTC","Mars, Month 5 - LS 144°",Sol 3332,-6,-73,7,-80,703,Value not available,Value not available,05:33,17:23,moderate,Sunny
"Earth, 2021-12-19 UTC","Mars, Month 5 - LS 144°",Sol 3331,-5,-73,3,-78,705,Value not available,Value not available,05:33,17:23,moderate,Sunny
